date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:25:08	91/91	---MCZ	200	added ('OK')	text/plain	etag:W/%22df00dd1fc54fdac6c4a1aad6f00c9362%22	https://cheat.blue/robots.txt		(from )
16:25:08	108466/108466	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:22%20GMT	https://cheat.blue/	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/index.html	(from )
16:25:09	15406/15406	---M--	200	added ('OK')	null	etag:%2211ad6b0dfc576edb5041bec3d21a9748%22	https://cheat.blue/favicon.ico	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/favicon.ico	(from https://cheat.blue/)
16:25:09	6946/6946	---MCZ	200	added ('OK')	text/css	etag:W/%229c818085ca8506300dd0ac0359cc3145%22	https://cheat.blue/_astro/index.QvwoZ9AF.css	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/_astro/index.QvwoZ9AF.css	(from https://cheat.blue/)
16:25:09	9544/9544	---MCZ	200	added ('OK')	text/css	etag:W/%2286944e0bb46e5ce361b263f26218fc40%22	https://cheat.blue/_astro/index.vy1aEksz.css	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/_astro/index.vy1aEksz.css	(from https://cheat.blue/)
16:25:10	354/354	---MCZ	200	added ('OK')	application/javascript	etag:W/%2230675cebcaf0421a58743d253eeeba8a%22	https://cheat.blue/_astro/hoisted.7VbDWqJW.js	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/_astro/hoisted.7VbDWqJW.js	(from https://cheat.blue/)
16:25:10	104172/104172	---M--	200	added ('OK')	image/webp	etag:%22253a91a310f4133e7de092d0ddaee2a6%22	https://cheat.blue/img/bg.webp	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/bg.webp	(from https://cheat.blue/)
16:25:10	310/310	---M--	200	added ('OK')	image/webp	etag:%2237a0e766fe7030cd3d07f559768f8aa9%22	https://cheat.blue/img/logo.webp	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/logo.webp	(from https://cheat.blue/)
16:25:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2030%20Jan%202024%2005:25:24%20GMT	https://cheat.blue/products	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/products	(from https://cheat.blue/)
16:25:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2030%20Jan%202024%2005:25:25%20GMT	https://cheat.blue/ru	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/ru	(from https://cheat.blue/)
16:25:11	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Tue,%2030%20Jan%202024%2005:25:25%20GMT	https://cheat.blue/es	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/es	(from https://cheat.blue/)
16:25:12	108466/108466	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:25%20GMT	https://cheat.blue/tr	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/tr.html	(from https://cheat.blue/)
16:25:12	114735/114735	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:25%20GMT	https://cheat.blue/products/	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/products/index.html	(from https://cheat.blue/)
16:25:12	108466/108466	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:25%20GMT	https://cheat.blue/da	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/da.html	(from https://cheat.blue/)
16:25:12	3800/3800	---M--	200	added ('OK')	image/png	etag:%22fcf03e97b5b2c7f53613782a8d658123%22	https://cheat.blue/img/modmenu-1.png	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/modmenu-1.png	(from https://cheat.blue/)
16:25:12	108506/108506	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:26%20GMT	https://cheat.blue/es/	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/es/index.html	(from https://cheat.blue/)
16:25:12	4247/4247	---M--	200	added ('OK')	image/png	etag:%223e7927531da9cdbc5cb57c167271ed0b%22	https://cheat.blue/img/modmenu-2.png	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/modmenu-2.png	(from https://cheat.blue/)
16:25:13	108544/108544	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2005:25:27%20GMT	https://cheat.blue/ru/	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/ru/index.html	(from https://cheat.blue/)
16:25:13	3178/3178	---M--	200	added ('OK')	image/png	etag:%22b3a9b0d74d84f7b2af7b222bbe693006%22	https://cheat.blue/img/modmenu-3.png	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/modmenu-3.png	(from https://cheat.blue/)
16:25:13	3952/3952	---M--	200	added ('OK')	image/png	etag:%220bcf406fd2060ce4bcb7dda9aa824c09%22	https://cheat.blue/img/modmenu-4.png	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/modmenu-4.png	(from https://cheat.blue/)
16:25:14	3870/3870	---M--	200	added ('OK')	image/png	etag:%22aee003a7674f6046039e6a0b1a4757f4%22	https://cheat.blue/img/modmenu-5.png	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/img/modmenu-5.png	(from https://cheat.blue/)
16:25:14	19986/19986	---MCZ	200	added ('OK')	text/javascript	etag:W/%222023.10.0%22	https://static.cloudflareinsights.com/beacon.min.js	C:/My%20Web%20Sites/asdasdasdasd/static.cloudflareinsights.com/beacon.min.js	(from https://cheat.blue/)
16:25:14	9258/9258	---MCZ	200	added ('OK')	text/css	etag:W/%22a5fcfa671e6ea3d1bec0b7c5095afc46%22	https://cheat.blue/_astro/index.lzhLyCa8.css	C:/My%20Web%20Sites/asdasdasdasd/cheat.blue/_astro/index.lzhLyCa8.css	(from https://cheat.blue/products/)
